,Questions,Answers
0,What is the price of NFTs?,/nAll NFTs have a capped supply and will never be available again!
1,What is the purpose of the NFT-QR App?,This is your first chance to buy NFTs which will play a critical role in the Bit Hotel metaverse.
2,What is the purpose of the app?,NFT-QR App aims to be the QR CODE Fight against identity theft   of Street artists.
3,How many other guests have joined the community?,"Diamondhands: Crypto Punkhead: The Dogefather: Legendary Rarity Hotel Guests: Join more than 10,000 (!"
4,What is the best price for NFT?,"Buy early to take advantage of our early INO prices, have a slightly higher chance of snatching low serial numbers, and earning lucrative in-game rewards."
5,What is the best way to buy NFTs?,Make sure to add the Binance Smartchain to your metamask prior to entering the sale or whitelisting!
6,What is the purpose of the NFT-QR App?,/nPlease note that tokens will be sent after the end of the airdrop campaign.
7,How do you get NFTs?,/nYou just need to take part via this link.
8,What is the purpose of the NFT-QR App?,/nDo note that we cannot share a specific date until right before the drop in order to prevent malicious botters to snatch more than they should.
9,What is the purpose of the NFT-QR App?,/nWe’ll make sure to prevent these sneaky bots from entering the drop as best we can using anti-bot measures.
10,Who is the Dogefather?,Hotel Guests (Full details here)Janitor Jim: Picolo Bimbo: Lady McBitmain: Wally Bets: When Lamboy: Moon Moon: Mister Anonymous: Shibasketballer: Ms Kitty: Elon Dusk: Mr.
